[2025-08-01 16:06:30] [gimbal_controller] [INFO] [1754035590.632037619] [gimbal_controller]: 云台控制器节点已启动
[2025-08-01 16:06:30] [gimbal_controller] [INFO] [1754035590.633890545] [gimbal_controller]: 图像中心设置为: (400, 300)
[2025-08-01 16:06:30] [gimbal_controller] [INFO] [1754035590.634772238] [gimbal_controller]: 订阅话题: /target_data
[2025-08-01 16:06:30] [gimbal_controller] [INFO] [1754035590.635413893] [gimbal_controller]: 发布话题: /uart1_sender_topic (30Hz)
[2025-08-01 16:06:30] [gimbal_controller] [INFO] [1754035590.636984782] [gimbal_controller]: 控制频率: 30Hz
[2025-08-01 16:06:36] [gimbal_controller] [INFO] [1754035596.724569030] [gimbal_controller]: 目标: (407, 305) | 误差: (+7,+5) | 成功计数:0
[2025-08-01 16:06:39] [gimbal_controller] [INFO] [1754035599.022720360] [gimbal_controller]: 目标: (404, 301) | 误差: (+4,+1) | 成功计数:1
[2025-08-01 16:06:39] [gimbal_controller] [INFO] [1754035599.054798465] [gimbal_controller]: 目标: (403, 301) | 误差: (+3,+1) | 成功计数:2
[2025-08-01 16:06:39] [gimbal_controller] [INFO] [1754035599.089641813] [gimbal_controller]: 目标: (404, 299) | 误差: (+4,-1) | 成功计数:3
[2025-08-01 16:06:39] [gimbal_controller] [INFO] [1754035599.142831256] [gimbal_controller]: 目标: (404, 299) | 误差: (+4,-1) | 成功计数:4
[2025-08-01 16:06:39] [gimbal_controller] [INFO] [1754035599.177550939] [gimbal_controller]: 目标: (404, 299) | 误差: (+4,-1) | 成功计数:5
[2025-08-01 16:06:39] [gimbal_controller] [INFO] [1754035599.211256807] [gimbal_controller]: 目标: (404, 300) | 误差: (+4,+0) | 成功计数:6
[2025-08-01 16:06:39] [gimbal_controller] [INFO] [1754035599.246610563] [gimbal_controller]: 目标: (404, 300) | 误差: (+4,+0) | 成功计数:7
[2025-08-01 16:06:39] [gimbal_controller] [INFO] [1754035599.279225325] [gimbal_controller]: 目标: (405, 300) | 误差: (+5,+0) | 成功计数:0
[2025-08-01 16:06:39] [gimbal_controller] [INFO] [1754035599.334293652] [gimbal_controller]: 目标: (404, 300) | 误差: (+4,+0) | 成功计数:1
[2025-08-01 16:06:39] [gimbal_controller] [INFO] [1754035599.366267926] [gimbal_controller]: 目标: (404, 301) | 误差: (+4,+1) | 成功计数:2
[2025-08-01 16:06:39] [gimbal_controller] [INFO] [1754035599.389512768] [gimbal_controller]: 目标: (404, 303) | 误差: (+4,+3) | 成功计数:3
[2025-08-01 16:06:39] [gimbal_controller] [INFO] [1754035599.413520306] [gimbal_controller]: 目标: (403, 303) | 误差: (+3,+3) | 成功计数:4
[2025-08-01 16:06:39] [gimbal_controller] [INFO] [1754035599.448278197] [gimbal_controller]: 目标: (404, 301) | 误差: (+4,+1) | 成功计数:5
[2025-08-01 16:06:39] [gimbal_controller] [INFO] [1754035599.474486905] [gimbal_controller]: 目标: (403, 303) | 误差: (+3,+3) | 成功计数:6
[2025-08-01 16:06:39] [gimbal_controller] [INFO] [1754035599.522792767] [gimbal_controller]: 目标: (404, 301) | 误差: (+4,+1) | 成功计数:7
[2025-08-01 16:06:39] [gimbal_controller] [INFO] [1754035599.551698761] [gimbal_controller]: 目标: (404, 301) | 误差: (+4,+1) | 成功计数:8
[2025-08-01 16:06:39] [gimbal_controller] [INFO] [1754035599.588369369] [gimbal_controller]: 目标: (405, 300) | 误差: (+5,+0) | 成功计数:0
[2025-08-01 16:06:39] [gimbal_controller] [INFO] [1754035599.627111357] [gimbal_controller]: 目标: (404, 301) | 误差: (+4,+1) | 成功计数:1
[2025-08-01 16:06:39] [gimbal_controller] [INFO] [1754035599.655288197] [gimbal_controller]: 目标: (404, 302) | 误差: (+4,+2) | 成功计数:2
[2025-08-01 16:06:39] [gimbal_controller] [INFO] [1754035599.691138069] [gimbal_controller]: 目标: (404, 302) | 误差: (+4,+2) | 成功计数:3
[2025-08-01 16:06:39] [gimbal_controller] [INFO] [1754035599.720333974] [gimbal_controller]: 目标: (404, 302) | 误差: (+4,+2) | 成功计数:4
[2025-08-01 16:06:39] [gimbal_controller] [INFO] [1754035599.747720119] [gimbal_controller]: 目标: (404, 303) | 误差: (+4,+3) | 成功计数:5
[2025-08-01 16:06:39] [gimbal_controller] [INFO] [1754035599.803716222] [gimbal_controller]: 目标: (405, 300) | 误差: (+5,+0) | 成功计数:0
[2025-08-01 16:06:39] [gimbal_controller] [INFO] [1754035599.841801971] [gimbal_controller]: 目标: (403, 303) | 误差: (+3,+3) | 成功计数:1
[2025-08-01 16:06:39] [gimbal_controller] [INFO] [1754035599.878584285] [gimbal_controller]: 目标: (405, 302) | 误差: (+5,+2) | 成功计数:0
[2025-08-01 16:06:39] [gimbal_controller] [INFO] [1754035599.910407770] [gimbal_controller]: 目标: (404, 302) | 误差: (+4,+2) | 成功计数:1
[2025-08-01 16:06:39] [gimbal_controller] [INFO] [1754035599.937341256] [gimbal_controller]: 目标: (404, 302) | 误差: (+4,+2) | 成功计数:2
[2025-08-01 16:06:39] [gimbal_controller] [INFO] [1754035599.973983281] [gimbal_controller]: 目标: (404, 303) | 误差: (+4,+3) | 成功计数:3
[2025-08-01 16:06:40] [gimbal_controller] [INFO] [1754035600.016681950] [gimbal_controller]: 目标: (404, 301) | 误差: (+4,+1) | 成功计数:4
[2025-08-01 16:06:40] [gimbal_controller] [INFO] [1754035600.058042475] [gimbal_controller]: 目标: (403, 301) | 误差: (+3,+1) | 成功计数:5
[2025-08-01 16:06:40] [gimbal_controller] [INFO] [1754035600.091128563] [gimbal_controller]: 目标: (403, 301) | 误差: (+3,+1) | 成功计数:6
[2025-08-01 16:06:40] [gimbal_controller] [INFO] [1754035600.138952308] [gimbal_controller]: 目标: (404, 301) | 误差: (+4,+1) | 成功计数:7
[2025-08-01 16:06:40] [gimbal_controller] [INFO] [1754035600.169479940] [gimbal_controller]: 目标: (405, 300) | 误差: (+5,+0) | 成功计数:0
[2025-08-01 16:06:40] [gimbal_controller] [INFO] [1754035600.203323764] [gimbal_controller]: 目标: (404, 302) | 误差: (+4,+2) | 成功计数:1
[2025-08-01 16:06:40] [gimbal_controller] [INFO] [1754035600.239044430] [gimbal_controller]: 目标: (403, 302) | 误差: (+3,+2) | 成功计数:2
[2025-08-01 16:06:40] [gimbal_controller] [INFO] [1754035600.287062422] [gimbal_controller]: 目标: (403, 302) | 误差: (+3,+2) | 成功计数:3
[2025-08-01 16:06:40] [gimbal_controller] [INFO] [1754035600.323110916] [gimbal_controller]: 目标: (404, 303) | 误差: (+4,+3) | 成功计数:4
[2025-08-01 16:06:40] [gimbal_controller] [INFO] [1754035600.348125853] [gimbal_controller]: 目标: (402, 302) | 误差: (+2,+2) | 成功计数:5
[2025-08-01 16:06:40] [gimbal_controller] [INFO] [1754035600.382260463] [gimbal_controller]: 目标: (402, 301) | 误差: (+2,+1) | 成功计数:6
[2025-08-01 16:06:40] [gimbal_controller] [INFO] [1754035600.431193106] [gimbal_controller]: 目标: (404, 299) | 误差: (+4,-1) | 成功计数:7
[2025-08-01 16:06:40] [gimbal_controller] [INFO] [1754035600.472077640] [gimbal_controller]: 目标: (404, 299) | 误差: (+4,-1) | 成功计数:8
[2025-08-01 16:06:40] [gimbal_controller] [INFO] [1754035600.510411010] [gimbal_controller]: 目标: (403, 299) | 误差: (+3,-1) | 成功计数:9
[2025-08-01 16:06:40] [gimbal_controller] [INFO] [1754035600.544021213] [gimbal_controller]: 连续命中阈值满足，发送打靶成功信号
[2025-08-01 16:06:40] [gimbal_controller] [INFO] [1754035600.550617431] [gimbal_controller]: 目标: (402, 301) | 误差: (+2,+1) | 成功计数:0
[2025-08-01 16:06:40] [gimbal_controller] [INFO] [1754035600.555095894] [gimbal_controller]: 服务端响应: success=True, message='打靶成功，激光已点亮'
[2025-08-01 16:06:40] [gimbal_controller] [INFO] [1754035600.586298139] [gimbal_controller]: 目标: (402, 301) | 误差: (+2,+1) | 成功计数:1
[2025-08-01 16:06:40] [gimbal_controller] [INFO] [1754035600.625791739] [gimbal_controller]: 目标: (401, 302) | 误差: (+1,+2) | 成功计数:2
[2025-08-01 16:06:40] [gimbal_controller] [INFO] [1754035600.660829626] [gimbal_controller]: 目标: (401, 303) | 误差: (+1,+3) | 成功计数:3
[2025-08-01 16:06:40] [gimbal_controller] [INFO] [1754035600.687962900] [gimbal_controller]: 目标: (400, 302) | 误差: (+0,+2) | 成功计数:4
[2025-08-01 16:06:40] [gimbal_controller] [INFO] [1754035600.715135258] [gimbal_controller]: 目标: (401, 302) | 误差: (+1,+2) | 成功计数:5
[2025-08-01 16:06:40] [gimbal_controller] [INFO] [1754035600.750754134] [gimbal_controller]: 目标: (399, 301) | 误差: (-1,+1) | 成功计数:6
[2025-08-01 16:06:40] [gimbal_controller] [INFO] [1754035600.783712765] [gimbal_controller]: 目标: (388, 304) | 误差: (-12,+4) | 成功计数:0
[2025-08-01 16:06:40] [gimbal_controller] [INFO] [1754035600.813279955] [gimbal_controller]: 目标: (379, 302) | 误差: (-21,+2) | 成功计数:0
[2025-08-01 16:06:40] [gimbal_controller] [INFO] [1754035600.854998058] [gimbal_controller]: 目标: (375, 303) | 误差: (-25,+3) | 成功计数:0
[2025-08-01 16:06:40] [gimbal_controller] [INFO] [1754035600.881433387] [gimbal_controller]: 目标: (375, 303) | 误差: (-25,+3) | 成功计数:0
[2025-08-01 16:06:40] [gimbal_controller] [INFO] [1754035600.914765344] [gimbal_controller]: 目标: (375, 304) | 误差: (-25,+4) | 成功计数:0
[2025-08-01 16:06:40] [gimbal_controller] [INFO] [1754035600.955886124] [gimbal_controller]: 目标: (373, 301) | 误差: (-27,+1) | 成功计数:0
[2025-08-01 16:06:40] [gimbal_controller] [INFO] [1754035600.994394783] [gimbal_controller]: 目标: (374, 302) | 误差: (-26,+2) | 成功计数:0
[2025-08-01 16:06:41] [gimbal_controller] [INFO] [1754035601.030632565] [gimbal_controller]: 目标: (374, 304) | 误差: (-26,+4) | 成功计数:0
[2025-08-01 16:06:41] [gimbal_controller] [INFO] [1754035601.055224301] [gimbal_controller]: 目标: (361, 302) | 误差: (-39,+2) | 成功计数:0
[2025-08-01 16:06:41] [gimbal_controller] [INFO] [1754035601.097111859] [gimbal_controller]: 目标: (357, 305) | 误差: (-43,+5) | 成功计数:0
[2025-08-01 16:06:41] [gimbal_controller] [INFO] [1754035601.126125476] [gimbal_controller]: 目标: (352, 306) | 误差: (-48,+6) | 成功计数:0
[2025-08-01 16:06:41] [gimbal_controller] [INFO] [1754035601.167498543] [gimbal_controller]: 目标: (348, 305) | 误差: (-52,+5) | 成功计数:0
[2025-08-01 16:06:41] [gimbal_controller] [INFO] [1754035601.203804865] [gimbal_controller]: 目标: (349, 301) | 误差: (-51,+1) | 成功计数:0
[2025-08-01 16:06:41] [gimbal_controller] [INFO] [1754035601.233343473] [gimbal_controller]: 目标: (358, 304) | 误差: (-42,+4) | 成功计数:0
[2025-08-01 16:06:41] [gimbal_controller] [INFO] [1754035601.275846145] [gimbal_controller]: 目标: (356, 299) | 误差: (-44,-1) | 成功计数:0
[2025-08-01 16:06:41] [gimbal_controller] [INFO] [1754035601.312100260] [gimbal_controller]: 目标: (356, 299) | 误差: (-44,-1) | 成功计数:0
[2025-08-01 16:06:41] [gimbal_controller] [INFO] [1754035601.344485776] [gimbal_controller]: 目标: (373, 299) | 误差: (-27,-1) | 成功计数:0
[2025-08-01 16:06:41] [gimbal_controller] [INFO] [1754035601.377979314] [gimbal_controller]: 目标: (376, 299) | 误差: (-24,-1) | 成功计数:0
[2025-08-01 16:06:41] [gimbal_controller] [INFO] [1754035601.414867210] [gimbal_controller]: 目标: (593, 280) | 误差: (+193,-20) | 成功计数:0
[2025-08-01 16:06:41] [gimbal_controller] [INFO] [1754035601.451460819] [gimbal_controller]: 目标: (593, 280) | 误差: (+193,-20) | 成功计数:0
[2025-08-01 16:06:41] [gimbal_controller] [INFO] [1754035601.486811950] [gimbal_controller]: 目标: (573, 114) | 误差: (+173,-186) | 成功计数:0
[2025-08-01 16:06:41] [gimbal_controller] [INFO] [1754035601.545974913] [gimbal_controller]: 目标: (344, 303) | 误差: (-56,+3) | 成功计数:0
[2025-08-01 16:06:41] [gimbal_controller] [INFO] [1754035601.578159183] [gimbal_controller]: 目标: (344, 303) | 误差: (-56,+3) | 成功计数:0
[2025-08-01 16:06:41] [gimbal_controller] [INFO] [1754035601.612626579] [gimbal_controller]: 目标: (344, 303) | 误差: (-56,+3) | 成功计数:0
[2025-08-01 16:06:41] [gimbal_controller] [INFO] [1754035601.646160075] [gimbal_controller]: 目标: (344, 303) | 误差: (-56,+3) | 成功计数:0
[2025-08-01 16:06:41] [gimbal_controller] [INFO] [1754035601.681222170] [gimbal_controller]: 目标: (344, 303) | 误差: (-56,+3) | 成功计数:0
[2025-08-01 16:06:41] [gimbal_controller] [INFO] [1754035601.703267992] [gimbal_controller]: 目标: (344, 303) | 误差: (-56,+3) | 成功计数:0
[2025-08-01 16:06:41] [gimbal_controller] [INFO] [1754035601.720797435] [gimbal_controller]: 目标: (344, 303) | 误差: (-56,+3) | 成功计数:0
[2025-08-01 16:06:41] [gimbal_controller] [INFO] [1754035601.744337439] [gimbal_controller]: 目标: (344, 303) | 误差: (-56,+3) | 成功计数:0
[2025-08-01 16:06:41] [gimbal_controller] [INFO] [1754035601.764169842] [gimbal_controller]: 目标: (344, 303) | 误差: (-56,+3) | 成功计数:0
[2025-08-01 16:06:41] [gimbal_controller] [INFO] [1754035601.811237601] [gimbal_controller]: 目标: (328, 334) | 误差: (-72,+34) | 成功计数:0
[2025-08-01 16:06:41] [gimbal_controller] [INFO] [1754035601.846605939] [gimbal_controller]: 目标: (334, 341) | 误差: (-66,+41) | 成功计数:0
[2025-08-01 16:06:41] [gimbal_controller] [INFO] [1754035601.872818730] [gimbal_controller]: 目标: (334, 341) | 误差: (-66,+41) | 成功计数:0
[2025-08-01 16:06:41] [gimbal_controller] [INFO] [1754035601.912941736] [gimbal_controller]: 目标: (334, 341) | 误差: (-66,+41) | 成功计数:0
[2025-08-01 16:06:41] [gimbal_controller] [INFO] [1754035601.926814326] [gimbal_controller]: 目标: (334, 341) | 误差: (-66,+41) | 成功计数:0
[2025-08-01 16:06:41] [gimbal_controller] [INFO] [1754035601.964293711] [gimbal_controller]: 目标: (334, 341) | 误差: (-66,+41) | 成功计数:0
[2025-08-01 16:06:41] [gimbal_controller] [INFO] [1754035601.992418635] [gimbal_controller]: 目标: (334, 341) | 误差: (-66,+41) | 成功计数:0
[2025-08-01 16:06:42] [gimbal_controller] [INFO] [1754035602.089642557] [gimbal_controller]: 目标: (407, 381) | 误差: (+7,+81) | 成功计数:0
[2025-08-01 16:06:42] [gimbal_controller] [INFO] [1754035602.130933959] [gimbal_controller]: 目标: (194, 409) | 误差: (-206,+109) | 成功计数:0
[2025-08-01 16:06:42] [gimbal_controller] [INFO] [1754035602.191480857] [gimbal_controller]: 目标: (421, 223) | 误差: (+21,-77) | 成功计数:0
[2025-08-01 16:06:42] [gimbal_controller] [INFO] [1754035602.222930431] [gimbal_controller]: 目标: (213, 414) | 误差: (-187,+114) | 成功计数:0
[2025-08-01 16:06:42] [gimbal_controller] [INFO] [1754035602.253258567] [gimbal_controller]: 目标: (407, 64) | 误差: (+7,-236) | 成功计数:0
[2025-08-01 16:06:42] [gimbal_controller] [INFO] [1754035602.293949146] [gimbal_controller]: 目标: (205, 407) | 误差: (-195,+107) | 成功计数:0
[2025-08-01 16:06:42] [gimbal_controller] [INFO] [1754035602.326010042] [gimbal_controller]: 目标: (205, 407) | 误差: (-195,+107) | 成功计数:0
[2025-08-01 16:06:42] [gimbal_controller] [INFO] [1754035602.365714514] [gimbal_controller]: 目标: (205, 407) | 误差: (-195,+107) | 成功计数:0
[2025-08-01 16:06:42] [gimbal_controller] [INFO] [1754035602.418438173] [gimbal_controller]: 目标: (433, 403) | 误差: (+33,+103) | 成功计数:0
[2025-08-01 16:06:42] [gimbal_controller] [INFO] [1754035602.462842479] [gimbal_controller]: 目标: (433, 403) | 误差: (+33,+103) | 成功计数:0
[2025-08-01 16:06:42] [gimbal_controller] [INFO] [1754035602.507265743] [gimbal_controller]: 目标: (464, 390) | 误差: (+64,+90) | 成功计数:0
