[2025-08-01 08:07:00] [gimbal_controller] [INFO] [1754006820.965730755] [gimbal_controller]: 目标: (378, 263) | 中心: (320, 240) | 误差: (+58, +23) | 指令: @0,58,23
[2025-08-01 08:07:04] [gimbal_controller] [INFO] [1754006824.954974043] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:05] [gimbal_controller] [INFO] [1754006825.041484558] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:05] [gimbal_controller] [INFO] [1754006825.109982888] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:05] [gimbal_controller] [INFO] [1754006825.196057368] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:05] [gimbal_controller] [INFO] [1754006825.244976122] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:05] [gimbal_controller] [INFO] [1754006825.317504642] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:05] [gimbal_controller] [INFO] [1754006825.386482465] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:05] [gimbal_controller] [INFO] [1754006825.473103228] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:05] [gimbal_controller] [INFO] [1754006825.526875533] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:05] [gimbal_controller] [INFO] [1754006825.612294648] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:05] [gimbal_controller] [INFO] [1754006825.667575722] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:05] [gimbal_controller] [INFO] [1754006825.763843504] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:05] [gimbal_controller] [INFO] [1754006825.839199397] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:05] [gimbal_controller] [INFO] [1754006825.895307042] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:05] [gimbal_controller] [INFO] [1754006825.975058576] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:06] [gimbal_controller] [INFO] [1754006826.060318152] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:06] [gimbal_controller] [INFO] [1754006826.112844184] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:06] [gimbal_controller] [INFO] [1754006826.152052628] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:06] [gimbal_controller] [INFO] [1754006826.275601620] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:06] [gimbal_controller] [INFO] [1754006826.325477401] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:06] [gimbal_controller] [INFO] [1754006826.411992332] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:06] [gimbal_controller] [INFO] [1754006826.458588997] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:06] [gimbal_controller] [INFO] [1754006826.512983418] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:06] [gimbal_controller] [INFO] [1754006826.555849306] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:06] [gimbal_controller] [INFO] [1754006826.596948305] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:06] [gimbal_controller] [INFO] [1754006826.677374162] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:06] [gimbal_controller] [INFO] [1754006826.802996580] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:06] [gimbal_controller] [INFO] [1754006826.918036910] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:06] [gimbal_controller] [INFO] [1754006826.970882313] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:07] [gimbal_controller] [INFO] [1754006827.016798988] [gimbal_controller]: 目标: (328, 237) | 中心: (320, 240) | 误差: (+8, -3) | 指令: @0,8,-3
[2025-08-01 08:07:07] [gimbal_controller] [INFO] [1754006827.062322377] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:07] [gimbal_controller] [INFO] [1754006827.111212382] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:07] [gimbal_controller] [INFO] [1754006827.157732215] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:07] [gimbal_controller] [INFO] [1754006827.210424203] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:07] [gimbal_controller] [INFO] [1754006827.278567873] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:07] [gimbal_controller] [INFO] [1754006827.344686531] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:07] [gimbal_controller] [INFO] [1754006827.396102164] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:07] [gimbal_controller] [INFO] [1754006827.497667699] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:07] [gimbal_controller] [INFO] [1754006827.556477136] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:07] [gimbal_controller] [INFO] [1754006827.604629027] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:07] [gimbal_controller] [INFO] [1754006827.703624435] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:07] [gimbal_controller] [INFO] [1754006827.763620812] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:07] [gimbal_controller] [INFO] [1754006827.801370945] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:07] [gimbal_controller] [INFO] [1754006827.886913724] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:07] [gimbal_controller] [INFO] [1754006827.963438016] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:08] [gimbal_controller] [INFO] [1754006828.064730264] [gimbal_controller]: 目标: (328, 237) | 中心: (320, 240) | 误差: (+8, -3) | 指令: @0,8,-3
[2025-08-01 08:07:08] [gimbal_controller] [INFO] [1754006828.188812122] [gimbal_controller]: 目标: (328, 237) | 中心: (320, 240) | 误差: (+8, -3) | 指令: @0,8,-3
[2025-08-01 08:07:08] [gimbal_controller] [INFO] [1754006828.272098602] [gimbal_controller]: 目标: (328, 237) | 中心: (320, 240) | 误差: (+8, -3) | 指令: @0,8,-3
[2025-08-01 08:07:08] [gimbal_controller] [INFO] [1754006828.333778162] [gimbal_controller]: 目标: (328, 237) | 中心: (320, 240) | 误差: (+8, -3) | 指令: @0,8,-3
[2025-08-01 08:07:08] [gimbal_controller] [INFO] [1754006828.425277559] [gimbal_controller]: 目标: (325, 236) | 中心: (320, 240) | 误差: (+5, -4) | 指令: @0,5,-4
[2025-08-01 08:07:08] [gimbal_controller] [INFO] [1754006828.538056632] [gimbal_controller]: 目标: (328, 237) | 中心: (320, 240) | 误差: (+8, -3) | 指令: @0,8,-3
[2025-08-01 08:07:08] [gimbal_controller] [INFO] [1754006828.642500873] [gimbal_controller]: 目标: (328, 237) | 中心: (320, 240) | 误差: (+8, -3) | 指令: @0,8,-3
[2025-08-01 08:07:08] [gimbal_controller] [INFO] [1754006828.698778557] [gimbal_controller]: 目标: (328, 237) | 中心: (320, 240) | 误差: (+8, -3) | 指令: @0,8,-3
[2025-08-01 08:07:08] [gimbal_controller] [INFO] [1754006828.768849530] [gimbal_controller]: 目标: (328, 237) | 中心: (320, 240) | 误差: (+8, -3) | 指令: @0,8,-3
[2025-08-01 08:07:08] [gimbal_controller] [INFO] [1754006828.812702237] [gimbal_controller]: 目标: (328, 237) | 中心: (320, 240) | 误差: (+8, -3) | 指令: @0,8,-3
[2025-08-01 08:07:08] [gimbal_controller] [INFO] [1754006828.887404348] [gimbal_controller]: 目标: (328, 237) | 中心: (320, 240) | 误差: (+8, -3) | 指令: @0,8,-3
[2025-08-01 08:07:08] [gimbal_controller] [INFO] [1754006828.951040670] [gimbal_controller]: 目标: (328, 237) | 中心: (320, 240) | 误差: (+8, -3) | 指令: @0,8,-3
[2025-08-01 08:07:09] [gimbal_controller] [INFO] [1754006829.006510741] [gimbal_controller]: 目标: (328, 237) | 中心: (320, 240) | 误差: (+8, -3) | 指令: @0,8,-3
[2025-08-01 08:07:09] [gimbal_controller] [INFO] [1754006829.067894263] [gimbal_controller]: 目标: (326, 236) | 中心: (320, 240) | 误差: (+6, -4) | 指令: @0,6,-4
[2025-08-01 08:07:09] [gimbal_controller] [INFO] [1754006829.138634018] [gimbal_controller]: 目标: (325, 236) | 中心: (320, 240) | 误差: (+5, -4) | 指令: @0,5,-4
[2025-08-01 08:07:09] [gimbal_controller] [INFO] [1754006829.178232415] [gimbal_controller]: 目标: (325, 236) | 中心: (320, 240) | 误差: (+5, -4) | 指令: @0,5,-4
[2025-08-01 08:07:09] [gimbal_controller] [INFO] [1754006829.241068707] [gimbal_controller]: 目标: (326, 237) | 中心: (320, 240) | 误差: (+6, -3) | 指令: @0,6,-3
[2025-08-01 08:07:09] [gimbal_controller] [INFO] [1754006829.359135324] [gimbal_controller]: 目标: (325, 236) | 中心: (320, 240) | 误差: (+5, -4) | 指令: @0,5,-4
[2025-08-01 08:07:09] [gimbal_controller] [INFO] [1754006829.404658171] [gimbal_controller]: 目标: (292, 232) | 中心: (320, 240) | 误差: (-28, -8) | 指令: @0,-28,-8
[2025-08-01 08:07:09] [gimbal_controller] [INFO] [1754006829.465301747] [gimbal_controller]: 目标: (269, 234) | 中心: (320, 240) | 误差: (-51, -6) | 指令: @0,-51,-6
[2025-08-01 08:07:09] [gimbal_controller] [INFO] [1754006829.532217560] [gimbal_controller]: 目标: (247, 240) | 中心: (320, 240) | 误差: (-73, +0) | 指令: @0,-73,0
[2025-08-01 08:07:09] [gimbal_controller] [INFO] [1754006829.901762219] [gimbal_controller]: 目标: (274, 241) | 中心: (320, 240) | 误差: (-46, +1) | 指令: @0,-46,1
[2025-08-01 08:07:10] [gimbal_controller] [INFO] [1754006830.678314423] [gimbal_controller]: 目标: (259, 242) | 中心: (320, 240) | 误差: (-61, +2) | 指令: @0,-61,2
[2025-08-01 08:07:10] [gimbal_controller] [INFO] [1754006830.731150784] [gimbal_controller]: 目标: (259, 242) | 中心: (320, 240) | 误差: (-61, +2) | 指令: @0,-61,2
[2025-08-01 08:07:10] [gimbal_controller] [INFO] [1754006830.766551286] [gimbal_controller]: 目标: (259, 241) | 中心: (320, 240) | 误差: (-61, +1) | 指令: @0,-61,1
[2025-08-01 08:07:10] [gimbal_controller] [INFO] [1754006830.892474700] [gimbal_controller]: 目标: (259, 242) | 中心: (320, 240) | 误差: (-61, +2) | 指令: @0,-61,2
[2025-08-01 08:07:10] [gimbal_controller] [INFO] [1754006830.970205307] [gimbal_controller]: 目标: (259, 241) | 中心: (320, 240) | 误差: (-61, +1) | 指令: @0,-61,1
[2025-08-01 08:07:11] [gimbal_controller] [INFO] [1754006831.063900920] [gimbal_controller]: 目标: (294, 241) | 中心: (320, 240) | 误差: (-26, +1) | 指令: @0,-26,1
[2025-08-01 08:07:11] [gimbal_controller] [INFO] [1754006831.119257826] [gimbal_controller]: 目标: (299, 241) | 中心: (320, 240) | 误差: (-21, +1) | 指令: @0,-21,1
[2025-08-01 08:07:11] [gimbal_controller] [INFO] [1754006831.202961675] [gimbal_controller]: 目标: (300, 241) | 中心: (320, 240) | 误差: (-20, +1) | 指令: @0,-20,1
[2025-08-01 08:07:11] [gimbal_controller] [INFO] [1754006831.284369559] [gimbal_controller]: 目标: (300, 241) | 中心: (320, 240) | 误差: (-20, +1) | 指令: @0,-20,1
[2025-08-01 08:07:11] [gimbal_controller] [INFO] [1754006831.426593391] [gimbal_controller]: 目标: (315, 242) | 中心: (320, 240) | 误差: (-5, +2) | 指令: @0,-5,2
[2025-08-01 08:07:11] [gimbal_controller] [INFO] [1754006831.526840030] [gimbal_controller]: 目标: (313, 240) | 中心: (320, 240) | 误差: (-7, +0) | 指令: @0,-7,0
[2025-08-01 08:07:11] [gimbal_controller] [INFO] [1754006831.578986026] [gimbal_controller]: 目标: (318, 241) | 中心: (320, 240) | 误差: (-2, +1) | 指令: @0,-2,1
[2025-08-01 08:07:11] [gimbal_controller] [INFO] [1754006831.622168077] [gimbal_controller]: 目标: (321, 241) | 中心: (320, 240) | 误差: (+1, +1) | 指令: @0,1,1
[2025-08-01 08:07:11] [gimbal_controller] [INFO] [1754006831.688982641] [gimbal_controller]: 目标: (324, 241) | 中心: (320, 240) | 误差: (+4, +1) | 指令: @0,4,1
