[2025-08-01 08:07:03] [gimbal_controller] [INFO] [1754006823.662268040] [gimbal_controller]: 云台控制器节点已启动
[2025-08-01 08:07:03] [gimbal_controller] [INFO] [1754006823.662853406] [gimbal_controller]: 图像中心设置为: (320, 240)
[2025-08-01 08:07:03] [gimbal_controller] [INFO] [1754006823.663301983] [gimbal_controller]: 订阅话题: /target_data
[2025-08-01 08:07:03] [gimbal_controller] [INFO] [1754006823.663723143] [gimbal_controller]: 发布话题: /uart1_sender_topic
[2025-08-01 08:07:03] [gimbal_controller] [INFO] [1754006823.686903873] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:06] [gimbal_controller] [INFO] [1754006826.455964329] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:06] [gimbal_controller] [INFO] [1754006826.507058008] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:06] [gimbal_controller] [INFO] [1754006826.553087265] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:06] [gimbal_controller] [INFO] [1754006826.596520436] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:06] [gimbal_controller] [INFO] [1754006826.680133578] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:06] [gimbal_controller] [INFO] [1754006826.798096947] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:06] [gimbal_controller] [INFO] [1754006826.914564963] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:06] [gimbal_controller] [INFO] [1754006826.972554121] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:07] [gimbal_controller] [INFO] [1754006827.016880653] [gimbal_controller]: 目标: (328, 237) | 中心: (320, 240) | 误差: (+8, -3) | 指令: @0,8,-3
[2025-08-01 08:07:07] [gimbal_controller] [INFO] [1754006827.063726148] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:07] [gimbal_controller] [INFO] [1754006827.106832782] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:07] [gimbal_controller] [INFO] [1754006827.157959419] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:07] [gimbal_controller] [INFO] [1754006827.212151718] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:07] [gimbal_controller] [INFO] [1754006827.280421678] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:07] [gimbal_controller] [INFO] [1754006827.346407922] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:07] [gimbal_controller] [INFO] [1754006827.394529230] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:07] [gimbal_controller] [INFO] [1754006827.495718229] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:07] [gimbal_controller] [INFO] [1754006827.552693986] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:07] [gimbal_controller] [INFO] [1754006827.606248919] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:07] [gimbal_controller] [INFO] [1754006827.701716089] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:07] [gimbal_controller] [INFO] [1754006827.770150254] [gimbal_controller]: 目标: (329, 236) | 中心: (320, 240) | 误差: (+9, -4) | 指令: @0,9,-4
[2025-08-01 08:07:07] [gimbal_controller] [INFO] [1754006827.803072502] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:07] [gimbal_controller] [INFO] [1754006827.888687322] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:07] [gimbal_controller] [INFO] [1754006827.965225614] [gimbal_controller]: 目标: (329, 237) | 中心: (320, 240) | 误差: (+9, -3) | 指令: @0,9,-3
[2025-08-01 08:07:08] [gimbal_controller] [INFO] [1754006828.066503278] [gimbal_controller]: 目标: (328, 237) | 中心: (320, 240) | 误差: (+8, -3) | 指令: @0,8,-3
[2025-08-01 08:07:08] [gimbal_controller] [INFO] [1754006828.183535661] [gimbal_controller]: 目标: (328, 237) | 中心: (320, 240) | 误差: (+8, -3) | 指令: @0,8,-3
[2025-08-01 08:07:08] [gimbal_controller] [INFO] [1754006828.274435984] [gimbal_controller]: 目标: (328, 237) | 中心: (320, 240) | 误差: (+8, -3) | 指令: @0,8,-3
[2025-08-01 08:07:08] [gimbal_controller] [INFO] [1754006828.335328055] [gimbal_controller]: 目标: (328, 237) | 中心: (320, 240) | 误差: (+8, -3) | 指令: @0,8,-3
[2025-08-01 08:07:08] [gimbal_controller] [INFO] [1754006828.419290025] [gimbal_controller]: 目标: (325, 236) | 中心: (320, 240) | 误差: (+5, -4) | 指令: @0,5,-4
[2025-08-01 08:07:08] [gimbal_controller] [INFO] [1754006828.541955572] [gimbal_controller]: 目标: (328, 237) | 中心: (320, 240) | 误差: (+8, -3) | 指令: @0,8,-3
[2025-08-01 08:07:08] [gimbal_controller] [INFO] [1754006828.640940188] [gimbal_controller]: 目标: (328, 237) | 中心: (320, 240) | 误差: (+8, -3) | 指令: @0,8,-3
[2025-08-01 08:07:08] [gimbal_controller] [INFO] [1754006828.700432281] [gimbal_controller]: 目标: (328, 237) | 中心: (320, 240) | 误差: (+8, -3) | 指令: @0,8,-3
[2025-08-01 08:07:08] [gimbal_controller] [INFO] [1754006828.771883401] [gimbal_controller]: 目标: (328, 237) | 中心: (320, 240) | 误差: (+8, -3) | 指令: @0,8,-3
[2025-08-01 08:07:08] [gimbal_controller] [INFO] [1754006828.839468495] [gimbal_controller]: 目标: (328, 237) | 中心: (320, 240) | 误差: (+8, -3) | 指令: @0,8,-3
[2025-08-01 08:07:08] [gimbal_controller] [INFO] [1754006828.899322250] [gimbal_controller]: 目标: (328, 237) | 中心: (320, 240) | 误差: (+8, -3) | 指令: @0,8,-3
[2025-08-01 08:07:08] [gimbal_controller] [INFO] [1754006828.952426357] [gimbal_controller]: 目标: (328, 237) | 中心: (320, 240) | 误差: (+8, -3) | 指令: @0,8,-3
[2025-08-01 08:07:09] [gimbal_controller] [INFO] [1754006829.008881080] [gimbal_controller]: 目标: (328, 237) | 中心: (320, 240) | 误差: (+8, -3) | 指令: @0,8,-3
[2025-08-01 08:07:09] [gimbal_controller] [INFO] [1754006829.070535556] [gimbal_controller]: 目标: (326, 236) | 中心: (320, 240) | 误差: (+6, -4) | 指令: @0,6,-4
[2025-08-01 08:07:09] [gimbal_controller] [INFO] [1754006829.136612216] [gimbal_controller]: 目标: (325, 236) | 中心: (320, 240) | 误差: (+5, -4) | 指令: @0,5,-4
[2025-08-01 08:07:09] [gimbal_controller] [INFO] [1754006829.188964709] [gimbal_controller]: 目标: (325, 236) | 中心: (320, 240) | 误差: (+5, -4) | 指令: @0,5,-4
[2025-08-01 08:07:09] [gimbal_controller] [INFO] [1754006829.243529169] [gimbal_controller]: 目标: (326, 237) | 中心: (320, 240) | 误差: (+6, -3) | 指令: @0,6,-3
[2025-08-01 08:07:09] [gimbal_controller] [INFO] [1754006829.367284074] [gimbal_controller]: 目标: (325, 236) | 中心: (320, 240) | 误差: (+5, -4) | 指令: @0,5,-4
[2025-08-01 08:07:09] [gimbal_controller] [INFO] [1754006829.409729594] [gimbal_controller]: 目标: (292, 232) | 中心: (320, 240) | 误差: (-28, -8) | 指令: @0,-28,-8
[2025-08-01 08:07:09] [gimbal_controller] [INFO] [1754006829.465860863] [gimbal_controller]: 目标: (269, 234) | 中心: (320, 240) | 误差: (-51, -6) | 指令: @0,-51,-6
[2025-08-01 08:07:09] [gimbal_controller] [INFO] [1754006829.536219166] [gimbal_controller]: 目标: (247, 240) | 中心: (320, 240) | 误差: (-73, +0) | 指令: @0,-73,0
[2025-08-01 08:07:09] [gimbal_controller] [INFO] [1754006829.901780885] [gimbal_controller]: 目标: (274, 241) | 中心: (320, 240) | 误差: (-46, +1) | 指令: @0,-46,1
[2025-08-01 08:07:10] [gimbal_controller] [INFO] [1754006830.679968439] [gimbal_controller]: 目标: (259, 242) | 中心: (320, 240) | 误差: (-61, +2) | 指令: @0,-61,2
[2025-08-01 08:07:10] [gimbal_controller] [INFO] [1754006830.739188411] [gimbal_controller]: 目标: (259, 242) | 中心: (320, 240) | 误差: (-61, +2) | 指令: @0,-61,2
[2025-08-01 08:07:10] [gimbal_controller] [INFO] [1754006830.769766570] [gimbal_controller]: 目标: (259, 241) | 中心: (320, 240) | 误差: (-61, +1) | 指令: @0,-61,1
[2025-08-01 08:07:10] [gimbal_controller] [INFO] [1754006830.895353989] [gimbal_controller]: 目标: (259, 242) | 中心: (320, 240) | 误差: (-61, +2) | 指令: @0,-61,2
[2025-08-01 08:07:10] [gimbal_controller] [INFO] [1754006830.965203591] [gimbal_controller]: 目标: (259, 241) | 中心: (320, 240) | 误差: (-61, +1) | 指令: @0,-61,1
[2025-08-01 08:07:11] [gimbal_controller] [INFO] [1754006831.081266489] [gimbal_controller]: 目标: (294, 241) | 中心: (320, 240) | 误差: (-26, +1) | 指令: @0,-26,1
[2025-08-01 08:07:11] [gimbal_controller] [INFO] [1754006831.121164714] [gimbal_controller]: 目标: (299, 241) | 中心: (320, 240) | 误差: (-21, +1) | 指令: @0,-21,1
[2025-08-01 08:07:11] [gimbal_controller] [INFO] [1754006831.213153520] [gimbal_controller]: 目标: (300, 241) | 中心: (320, 240) | 误差: (-20, +1) | 指令: @0,-20,1
[2025-08-01 08:07:11] [gimbal_controller] [INFO] [1754006831.298855255] [gimbal_controller]: 目标: (300, 241) | 中心: (320, 240) | 误差: (-20, +1) | 指令: @0,-20,1
[2025-08-01 08:07:11] [gimbal_controller] [INFO] [1754006831.415640891] [gimbal_controller]: 目标: (315, 242) | 中心: (320, 240) | 误差: (-5, +2) | 指令: @0,-5,2
[2025-08-01 08:07:11] [gimbal_controller] [INFO] [1754006831.484045307] [gimbal_controller]: 目标: (313, 240) | 中心: (320, 240) | 误差: (-7, +0) | 指令: @0,-7,0
[2025-08-01 08:07:11] [gimbal_controller] [INFO] [1754006831.576541605] [gimbal_controller]: 目标: (318, 241) | 中心: (320, 240) | 误差: (-2, +1) | 指令: @0,-2,1
[2025-08-01 08:07:11] [gimbal_controller] [INFO] [1754006831.622354740] [gimbal_controller]: 目标: (321, 241) | 中心: (320, 240) | 误差: (+1, +1) | 指令: @0,1,1
[2025-08-01 08:07:11] [gimbal_controller] [INFO] [1754006831.687097628] [gimbal_controller]: 目标: (324, 241) | 中心: (320, 240) | 误差: (+4, +1) | 指令: @0,4,1
[2025-08-01 08:07:11] [gimbal_controller] [INFO] [1754006831.742165789] [gimbal_controller]: 目标: (324, 241) | 中心: (320, 240) | 误差: (+4, +1) | 指令: @0,4,1
[2025-08-01 08:07:11] [gimbal_controller] [INFO] [1754006831.786918440] [gimbal_controller]: 目标: (324, 241) | 中心: (320, 240) | 误差: (+4, +1) | 指令: @0,4,1
[2025-08-01 08:07:11] [gimbal_controller] [INFO] [1754006831.861895256] [gimbal_controller]: 目标: (323, 241) | 中心: (320, 240) | 误差: (+3, +1) | 指令: @0,3,1
[2025-08-01 08:07:11] [gimbal_controller] [INFO] [1754006831.944761659] [gimbal_controller]: 目标: (322, 241) | 中心: (320, 240) | 误差: (+2, +1) | 指令: @0,2,1
[2025-08-01 08:07:12] [gimbal_controller] [INFO] [1754006832.036379221] [gimbal_controller]: 目标: (323, 241) | 中心: (320, 240) | 误差: (+3, +1) | 指令: @0,3,1
[2025-08-01 08:07:12] [gimbal_controller] [INFO] [1754006832.146081423] [gimbal_controller]: 目标: (323, 241) | 中心: (320, 240) | 误差: (+3, +1) | 指令: @0,3,1
[2025-08-01 08:07:12] [gimbal_controller] [INFO] [1754006832.196763068] [gimbal_controller]: 目标: (324, 241) | 中心: (320, 240) | 误差: (+4, +1) | 指令: @0,4,1
[2025-08-01 08:07:12] [gimbal_controller] [INFO] [1754006832.252378636] [gimbal_controller]: 目标: (322, 241) | 中心: (320, 240) | 误差: (+2, +1) | 指令: @0,2,1
[2025-08-01 08:07:12] [gimbal_controller] [INFO] [1754006832.334265430] [gimbal_controller]: 目标: (322, 241) | 中心: (320, 240) | 误差: (+2, +1) | 指令: @0,2,1
[2025-08-01 08:07:12] [gimbal_controller] [INFO] [1754006832.451878929] [gimbal_controller]: 目标: (322, 241) | 中心: (320, 240) | 误差: (+2, +1) | 指令: @0,2,1
[2025-08-01 08:07:12] [gimbal_controller] [INFO] [1754006832.537330418] [gimbal_controller]: 目标: (322, 241) | 中心: (320, 240) | 误差: (+2, +1) | 指令: @0,2,1
[2025-08-01 08:07:12] [gimbal_controller] [INFO] [1754006832.662000851] [gimbal_controller]: 目标: (322, 241) | 中心: (320, 240) | 误差: (+2, +1) | 指令: @0,2,1
[2025-08-01 08:07:12] [gimbal_controller] [INFO] [1754006832.765876934] [gimbal_controller]: 目标: (322, 241) | 中心: (320, 240) | 误差: (+2, +1) | 指令: @0,2,1
[2025-08-01 08:07:12] [gimbal_controller] [INFO] [1754006832.875979714] [gimbal_controller]: 目标: (323, 241) | 中心: (320, 240) | 误差: (+3, +1) | 指令: @0,3,1
[2025-08-01 08:07:12] [gimbal_controller] [INFO] [1754006832.958364375] [gimbal_controller]: 目标: (323, 241) | 中心: (320, 240) | 误差: (+3, +1) | 指令: @0,3,1
[2025-08-01 08:07:13] [gimbal_controller] [INFO] [1754006833.046751069] [gimbal_controller]: 目标: (323, 241) | 中心: (320, 240) | 误差: (+3, +1) | 指令: @0,3,1
[2025-08-01 08:07:14] [gimbal_controller] [INFO] [1754006834.143574933] [gimbal_controller]: 目标: (393, 238) | 中心: (320, 240) | 误差: (+73, -2) | 指令: @0,73,-2
[2025-08-01 08:07:14] [gimbal_controller] [INFO] [1754006834.217258893] [gimbal_controller]: 目标: (393, 238) | 中心: (320, 240) | 误差: (+73, -2) | 指令: @0,73,-2
[2025-08-01 08:07:14] [gimbal_controller] [INFO] [1754006834.263068403] [gimbal_controller]: 目标: (393, 238) | 中心: (320, 240) | 误差: (+73, -2) | 指令: @0,73,-2
[2025-08-01 08:07:14] [gimbal_controller] [INFO] [1754006834.327172842] [gimbal_controller]: 目标: (392, 238) | 中心: (320, 240) | 误差: (+72, -2) | 指令: @0,72,-2
[2025-08-01 08:07:14] [gimbal_controller] [INFO] [1754006834.374848532] [gimbal_controller]: 目标: (398, 238) | 中心: (320, 240) | 误差: (+78, -2) | 指令: @0,78,-2
[2025-08-01 08:07:14] [gimbal_controller] [INFO] [1754006834.428502631] [gimbal_controller]: 目标: (390, 237) | 中心: (320, 240) | 误差: (+70, -3) | 指令: @0,70,-3
[2025-08-01 08:07:14] [gimbal_controller] [INFO] [1754006834.507897587] [gimbal_controller]: 目标: (378, 237) | 中心: (320, 240) | 误差: (+58, -3) | 指令: @0,58,-3
[2025-08-01 08:07:14] [gimbal_controller] [INFO] [1754006834.593852235] [gimbal_controller]: 目标: (372, 238) | 中心: (320, 240) | 误差: (+52, -2) | 指令: @0,52,-2
[2025-08-01 08:07:14] [gimbal_controller] [INFO] [1754006834.650867533] [gimbal_controller]: 目标: (352, 239) | 中心: (320, 240) | 误差: (+32, -1) | 指令: @0,32,-1
[2025-08-01 08:07:14] [gimbal_controller] [INFO] [1754006834.761119019] [gimbal_controller]: 目标: (351, 239) | 中心: (320, 240) | 误差: (+31, -1) | 指令: @0,31,-1
[2025-08-01 08:07:14] [gimbal_controller] [INFO] [1754006834.803050713] [gimbal_controller]: 目标: (351, 239) | 中心: (320, 240) | 误差: (+31, -1) | 指令: @0,31,-1
[2025-08-01 08:07:14] [gimbal_controller] [INFO] [1754006834.868425633] [gimbal_controller]: 目标: (357, 239) | 中心: (320, 240) | 误差: (+37, -1) | 指令: @0,37,-1
[2025-08-01 08:07:14] [gimbal_controller] [INFO] [1754006834.941383771] [gimbal_controller]: 目标: (355, 239) | 中心: (320, 240) | 误差: (+35, -1) | 指令: @0,35,-1
[2025-08-01 08:07:15] [gimbal_controller] [INFO] [1754006835.012692559] [gimbal_controller]: 目标: (350, 238) | 中心: (320, 240) | 误差: (+30, -2) | 指令: @0,30,-2
[2025-08-01 08:07:15] [gimbal_controller] [INFO] [1754006835.104605824] [gimbal_controller]: 目标: (343, 239) | 中心: (320, 240) | 误差: (+23, -1) | 指令: @0,23,-1
[2025-08-01 08:07:15] [gimbal_controller] [INFO] [1754006835.200597695] [gimbal_controller]: 目标: (342, 239) | 中心: (320, 240) | 误差: (+22, -1) | 指令: @0,22,-1
[2025-08-01 08:07:15] [gimbal_controller] [INFO] [1754006835.271982315] [gimbal_controller]: 目标: (341, 239) | 中心: (320, 240) | 误差: (+21, -1) | 指令: @0,21,-1
[2025-08-01 08:07:15] [gimbal_controller] [INFO] [1754006835.347577954] [gimbal_controller]: 目标: (340, 239) | 中心: (320, 240) | 误差: (+20, -1) | 指令: @0,20,-1
[2025-08-01 08:07:15] [gimbal_controller] [INFO] [1754006835.390753587] [gimbal_controller]: 目标: (340, 239) | 中心: (320, 240) | 误差: (+20, -1) | 指令: @0,20,-1
[2025-08-01 08:07:15] [gimbal_controller] [INFO] [1754006835.490386277] [gimbal_controller]: 目标: (338, 238) | 中心: (320, 240) | 误差: (+18, -2) | 指令: @0,18,-2
[2025-08-01 08:07:15] [gimbal_controller] [INFO] [1754006835.576482340] [gimbal_controller]: 目标: (338, 239) | 中心: (320, 240) | 误差: (+18, -1) | 指令: @0,18,-1
[2025-08-01 08:07:15] [gimbal_controller] [INFO] [1754006835.704553512] [gimbal_controller]: 目标: (335, 239) | 中心: (320, 240) | 误差: (+15, -1) | 指令: @0,15,-1
[2025-08-01 08:07:15] [gimbal_controller] [INFO] [1754006835.807501985] [gimbal_controller]: 目标: (333, 239) | 中心: (320, 240) | 误差: (+13, -1) | 指令: @0,13,-1
[2025-08-01 08:07:15] [gimbal_controller] [INFO] [1754006835.895727390] [gimbal_controller]: 目标: (333, 239) | 中心: (320, 240) | 误差: (+13, -1) | 指令: @0,13,-1
[2025-08-01 08:07:16] [gimbal_controller] [INFO] [1754006836.035073557] [gimbal_controller]: 目标: (332, 239) | 中心: (320, 240) | 误差: (+12, -1) | 指令: @0,12,-1
