[2025-08-01 05:30:49] [gimbal_controller] [INFO] [1753997449.050098541] [gimbal_controller]: 云台控制器节点已启动
[2025-08-01 05:30:49] [gimbal_controller] [INFO] [1753997449.050614200] [gimbal_controller]: 图像中心设置为: (320, 240)
[2025-08-01 05:30:49] [gimbal_controller] [INFO] [1753997449.051105360] [gimbal_controller]: 订阅话题: /target_data
[2025-08-01 05:30:49] [gimbal_controller] [INFO] [1753997449.051866307] [gimbal_controller]: 发布话题: /uart1_sender_topic
[2025-08-01 05:30:59] [gimbal_controller] [INFO] [1753997459.913509647] [gimbal_controller]: 目标: (143, 326) | 中心: (320, 240) | 误差: (-177, +86) | 指令: @0,-177,86
[2025-08-01 05:31:05] [gimbal_controller] [INFO] [1753997465.321948124] [gimbal_controller]: 目标: (375, 321) | 中心: (320, 240) | 误差: (+55, +81) | 指令: @0,55,81
[2025-08-01 05:31:05] [gimbal_controller] [INFO] [1753997465.360703347] [gimbal_controller]: 目标: (387, 322) | 中心: (320, 240) | 误差: (+67, +82) | 指令: @0,67,82
[2025-08-01 05:31:05] [gimbal_controller] [INFO] [1753997465.397091437] [gimbal_controller]: 目标: (393, 322) | 中心: (320, 240) | 误差: (+73, +82) | 指令: @0,73,82
[2025-08-01 05:31:05] [gimbal_controller] [INFO] [1753997465.446323464] [gimbal_controller]: 目标: (399, 323) | 中心: (320, 240) | 误差: (+79, +83) | 指令: @0,79,83
[2025-08-01 05:31:05] [gimbal_controller] [INFO] [1753997465.484047077] [gimbal_controller]: 目标: (404, 322) | 中心: (320, 240) | 误差: (+84, +82) | 指令: @0,84,82
[2025-08-01 05:31:05] [gimbal_controller] [INFO] [1753997465.530134983] [gimbal_controller]: 目标: (414, 321) | 中心: (320, 240) | 误差: (+94, +81) | 指令: @0,94,81
[2025-08-01 05:31:05] [gimbal_controller] [INFO] [1753997465.574000131] [gimbal_controller]: 目标: (419, 321) | 中心: (320, 240) | 误差: (+99, +81) | 指令: @0,99,81
[2025-08-01 05:31:05] [gimbal_controller] [INFO] [1753997465.636902082] [gimbal_controller]: 目标: (428, 306) | 中心: (320, 240) | 误差: (+108, +66) | 指令: @0,108,66
[2025-08-01 05:31:05] [gimbal_controller] [INFO] [1753997465.698311888] [gimbal_controller]: 目标: (431, 307) | 中心: (320, 240) | 误差: (+111, +67) | 指令: @0,111,67
[2025-08-01 05:31:05] [gimbal_controller] [WARN] [1753997465.755560256] [gimbal_controller]: 目标数据格式不正确: c,440,306,90
[2025-08-01 05:31:05] [gimbal_controller] [WARN] [1753997465.758079052] [gimbal_controller]: 无法解析目标数据: c,440,306,90
[2025-08-01 05:31:05] [gimbal_controller] [WARN] [1753997465.795933038] [gimbal_controller]: 目标数据格式不正确: c,448,307,90
[2025-08-01 05:31:05] [gimbal_controller] [WARN] [1753997465.797990716] [gimbal_controller]: 无法解析目标数据: c,448,307,90
[2025-08-01 05:31:05] [gimbal_controller] [WARN] [1753997465.839372358] [gimbal_controller]: 目标数据格式不正确: c,452,307,90
[2025-08-01 05:31:05] [gimbal_controller] [WARN] [1753997465.841395036] [gimbal_controller]: 无法解析目标数据: c,452,307,90
[2025-08-01 05:31:05] [gimbal_controller] [INFO] [1753997465.901900689] [gimbal_controller]: 目标: (459, 307) | 中心: (320, 240) | 误差: (+139, +67) | 指令: @0,139,67
[2025-08-01 05:31:05] [gimbal_controller] [INFO] [1753997465.942849796] [gimbal_controller]: 目标: (462, 307) | 中心: (320, 240) | 误差: (+142, +67) | 指令: @0,142,67
[2025-08-01 05:31:05] [gimbal_controller] [INFO] [1753997465.978348900] [gimbal_controller]: 目标: (464, 308) | 中心: (320, 240) | 误差: (+144, +68) | 指令: @0,144,68
[2025-08-01 05:31:06] [gimbal_controller] [INFO] [1753997466.018779139] [gimbal_controller]: 目标: (470, 308) | 中心: (320, 240) | 误差: (+150, +68) | 指令: @0,150,68
[2025-08-01 05:31:06] [gimbal_controller] [INFO] [1753997466.072087440] [gimbal_controller]: 目标: (472, 308) | 中心: (320, 240) | 误差: (+152, +68) | 指令: @0,152,68
[2025-08-01 05:31:06] [gimbal_controller] [INFO] [1753997466.114784188] [gimbal_controller]: 目标: (474, 306) | 中心: (320, 240) | 误差: (+154, +66) | 指令: @0,154,66
[2025-08-01 05:31:06] [gimbal_controller] [INFO] [1753997466.162744275] [gimbal_controller]: 目标: (478, 305) | 中心: (320, 240) | 误差: (+158, +65) | 指令: @0,158,65
[2025-08-01 05:31:06] [gimbal_controller] [INFO] [1753997466.217379056] [gimbal_controller]: 目标: (479, 305) | 中心: (320, 240) | 误差: (+159, +65) | 指令: @0,159,65
[2025-08-01 05:31:06] [gimbal_controller] [INFO] [1753997466.259325065] [gimbal_controller]: 目标: (479, 305) | 中心: (320, 240) | 误差: (+159, +65) | 指令: @0,159,65
[2025-08-01 05:31:06] [gimbal_controller] [INFO] [1753997466.296103108] [gimbal_controller]: 目标: (477, 306) | 中心: (320, 240) | 误差: (+157, +66) | 指令: @0,157,66
[2025-08-01 05:31:06] [gimbal_controller] [INFO] [1753997466.350017774] [gimbal_controller]: 目标: (473, 318) | 中心: (320, 240) | 误差: (+153, +78) | 指令: @0,153,78
[2025-08-01 05:31:06] [gimbal_controller] [INFO] [1753997466.402195008] [gimbal_controller]: 目标: (469, 319) | 中心: (320, 240) | 误差: (+149, +79) | 指令: @0,149,79
[2025-08-01 05:31:06] [gimbal_controller] [INFO] [1753997466.456383545] [gimbal_controller]: 目标: (463, 321) | 中心: (320, 240) | 误差: (+143, +81) | 指令: @0,143,81
[2025-08-01 05:31:06] [gimbal_controller] [INFO] [1753997466.526680888] [gimbal_controller]: 目标: (449, 323) | 中心: (320, 240) | 误差: (+129, +83) | 指令: @0,129,83
[2025-08-01 05:31:06] [gimbal_controller] [INFO] [1753997466.592596003] [gimbal_controller]: 目标: (433, 325) | 中心: (320, 240) | 误差: (+113, +85) | 指令: @0,113,85
[2025-08-01 05:31:06] [gimbal_controller] [INFO] [1753997466.638584744] [gimbal_controller]: 目标: (416, 327) | 中心: (320, 240) | 误差: (+96, +87) | 指令: @0,96,87
[2025-08-01 05:31:06] [gimbal_controller] [INFO] [1753997466.682337893] [gimbal_controller]: 目标: (407, 327) | 中心: (320, 240) | 误差: (+87, +87) | 指令: @0,87,87
[2025-08-01 05:31:06] [gimbal_controller] [INFO] [1753997466.717844288] [gimbal_controller]: 目标: (389, 328) | 中心: (320, 240) | 误差: (+69, +88) | 指令: @0,69,88
[2025-08-01 05:31:06] [gimbal_controller] [INFO] [1753997466.755745232] [gimbal_controller]: 目标: (380, 329) | 中心: (320, 240) | 误差: (+60, +89) | 指令: @0,60,89
[2025-08-01 05:31:06] [gimbal_controller] [INFO] [1753997466.798351272] [gimbal_controller]: 目标: (371, 329) | 中心: (320, 240) | 误差: (+51, +89) | 指令: @0,51,89
[2025-08-01 05:31:06] [gimbal_controller] [INFO] [1753997466.841666928] [gimbal_controller]: 目标: (363, 329) | 中心: (320, 240) | 误差: (+43, +89) | 指令: @0,43,89
[2025-08-01 05:31:06] [gimbal_controller] [INFO] [1753997466.887866541] [gimbal_controller]: 目标: (346, 329) | 中心: (320, 240) | 误差: (+26, +89) | 指令: @0,26,89
[2025-08-01 05:31:06] [gimbal_controller] [INFO] [1753997466.940223730] [gimbal_controller]: 目标: (339, 330) | 中心: (320, 240) | 误差: (+19, +90) | 指令: @0,19,90
[2025-08-01 05:31:06] [gimbal_controller] [INFO] [1753997466.986919169] [gimbal_controller]: 目标: (323, 329) | 中心: (320, 240) | 误差: (+3, +89) | 指令: @0,3,89
[2025-08-01 05:31:07] [gimbal_controller] [INFO] [1753997467.029941704] [gimbal_controller]: 目标: (315, 329) | 中心: (320, 240) | 误差: (-5, +89) | 指令: @0,-5,89
[2025-08-01 05:31:07] [gimbal_controller] [INFO] [1753997467.075632950] [gimbal_controller]: 目标: (307, 329) | 中心: (320, 240) | 误差: (-13, +89) | 指令: @0,-13,89
[2025-08-01 05:31:07] [gimbal_controller] [INFO] [1753997467.121204030] [gimbal_controller]: 目标: (299, 329) | 中心: (320, 240) | 误差: (-21, +89) | 指令: @0,-21,89
[2025-08-01 05:31:07] [gimbal_controller] [INFO] [1753997467.252032984] [gimbal_controller]: 目标: (275, 324) | 中心: (320, 240) | 误差: (-45, +84) | 指令: @0,-45,84
[2025-08-01 05:31:07] [gimbal_controller] [INFO] [1753997467.295344556] [gimbal_controller]: 目标: (273, 323) | 中心: (320, 240) | 误差: (-47, +83) | 指令: @0,-47,83
[2025-08-01 05:31:07] [gimbal_controller] [INFO] [1753997467.345646984] [gimbal_controller]: 目标: (271, 323) | 中心: (320, 240) | 误差: (-49, +83) | 指令: @0,-49,83
[2025-08-01 05:31:07] [gimbal_controller] [WARN] [1753997467.400174433] [gimbal_controller]: 目标数据格式不正确: c,272,325,116
[2025-08-01 05:31:07] [gimbal_controller] [WARN] [1753997467.402344693] [gimbal_controller]: 无法解析目标数据: c,272,325,116
[2025-08-01 05:31:07] [gimbal_controller] [INFO] [1753997467.444755028] [gimbal_controller]: 目标: (278, 321) | 中心: (320, 240) | 误差: (-42, +81) | 指令: @0,-42,81
[2025-08-01 05:31:07] [gimbal_controller] [INFO] [1753997467.557022004] [gimbal_controller]: 目标: (303, 329) | 中心: (320, 240) | 误差: (-17, +89) | 指令: @0,-17,89
[2025-08-01 05:31:07] [gimbal_controller] [INFO] [1753997467.611147542] [gimbal_controller]: 目标: (312, 329) | 中心: (320, 240) | 误差: (-8, +89) | 指令: @0,-8,89
[2025-08-01 05:31:07] [gimbal_controller] [INFO] [1753997467.652642933] [gimbal_controller]: 目标: (332, 330) | 中心: (320, 240) | 误差: (+12, +90) | 指令: @0,12,90
[2025-08-01 05:31:07] [gimbal_controller] [INFO] [1753997467.693461958] [gimbal_controller]: 目标: (343, 331) | 中心: (320, 240) | 误差: (+23, +91) | 指令: @0,23,91
[2025-08-01 05:31:07] [gimbal_controller] [INFO] [1753997467.732865255] [gimbal_controller]: 目标: (353, 331) | 中心: (320, 240) | 误差: (+33, +91) | 指令: @0,33,91
[2025-08-01 05:31:07] [gimbal_controller] [INFO] [1753997467.780911382] [gimbal_controller]: 目标: (364, 331) | 中心: (320, 240) | 误差: (+44, +91) | 指令: @0,44,91
[2025-08-01 05:31:07] [gimbal_controller] [INFO] [1753997467.822346690] [gimbal_controller]: 目标: (384, 332) | 中心: (320, 240) | 误差: (+64, +92) | 指令: @0,64,92
[2025-08-01 05:31:07] [gimbal_controller] [INFO] [1753997467.870507441] [gimbal_controller]: 目标: (393, 331) | 中心: (320, 240) | 误差: (+73, +91) | 指令: @0,73,91
[2025-08-01 05:31:07] [gimbal_controller] [INFO] [1753997467.908240095] [gimbal_controller]: 目标: (403, 329) | 中心: (320, 240) | 误差: (+83, +89) | 指令: @0,83,89
[2025-08-01 05:31:07] [gimbal_controller] [INFO] [1753997467.946256829] [gimbal_controller]: 目标: (412, 328) | 中心: (320, 240) | 误差: (+92, +88) | 指令: @0,92,88
[2025-08-01 05:31:07] [gimbal_controller] [INFO] [1753997467.981931221] [gimbal_controller]: 目标: (420, 328) | 中心: (320, 240) | 误差: (+100, +88) | 指令: @0,100,88
[2025-08-01 05:31:08] [gimbal_controller] [INFO] [1753997468.020584654] [gimbal_controller]: 目标: (429, 326) | 中心: (320, 240) | 误差: (+109, +86) | 指令: @0,109,86
[2025-08-01 05:31:08] [gimbal_controller] [INFO] [1753997468.056386503] [gimbal_controller]: 目标: (436, 325) | 中心: (320, 240) | 误差: (+116, +85) | 指令: @0,116,85
[2025-08-01 05:31:08] [gimbal_controller] [INFO] [1753997468.100513563] [gimbal_controller]: 目标: (443, 323) | 中心: (320, 240) | 误差: (+123, +83) | 指令: @0,123,83
[2025-08-01 05:31:08] [gimbal_controller] [INFO] [1753997468.147466540] [gimbal_controller]: 目标: (464, 320) | 中心: (320, 240) | 误差: (+144, +80) | 指令: @0,144,80
[2025-08-01 05:31:08] [gimbal_controller] [INFO] [1753997468.181075671] [gimbal_controller]: 目标: (470, 318) | 中心: (320, 240) | 误差: (+150, +78) | 指令: @0,150,78
[2025-08-01 05:31:08] [gimbal_controller] [INFO] [1753997468.229048883] [gimbal_controller]: 目标: (474, 317) | 中心: (320, 240) | 误差: (+154, +77) | 指令: @0,154,77
[2025-08-01 05:31:08] [gimbal_controller] [INFO] [1753997468.269044254] [gimbal_controller]: 目标: (479, 316) | 中心: (320, 240) | 误差: (+159, +76) | 指令: @0,159,76
[2025-08-01 05:31:08] [gimbal_controller] [INFO] [1753997468.302042645] [gimbal_controller]: 目标: (483, 305) | 中心: (320, 240) | 误差: (+163, +65) | 指令: @0,163,65
[2025-08-01 05:31:08] [gimbal_controller] [INFO] [1753997468.351971161] [gimbal_controller]: 目标: (484, 306) | 中心: (320, 240) | 误差: (+164, +66) | 指令: @0,164,66
[2025-08-01 05:31:08] [gimbal_controller] [INFO] [1753997468.390200516] [gimbal_controller]: 目标: (486, 305) | 中心: (320, 240) | 误差: (+166, +65) | 指令: @0,166,65
[2025-08-01 05:31:08] [gimbal_controller] [INFO] [1753997468.433066137] [gimbal_controller]: 目标: (485, 306) | 中心: (320, 240) | 误差: (+165, +66) | 指令: @0,165,66
[2025-08-01 05:31:08] [gimbal_controller] [INFO] [1753997468.493815620] [gimbal_controller]: 目标: (482, 320) | 中心: (320, 240) | 误差: (+162, +80) | 指令: @0,162,80
[2025-08-01 05:31:08] [gimbal_controller] [INFO] [1753997468.540379227] [gimbal_controller]: 目标: (476, 323) | 中心: (320, 240) | 误差: (+156, +83) | 指令: @0,156,83
[2025-08-01 05:31:08] [gimbal_controller] [INFO] [1753997468.588497396] [gimbal_controller]: 目标: (461, 325) | 中心: (320, 240) | 误差: (+141, +85) | 指令: @0,141,85
[2025-08-01 05:31:08] [gimbal_controller] [INFO] [1753997468.651462346] [gimbal_controller]: 目标: (441, 330) | 中心: (320, 240) | 误差: (+121, +90) | 指令: @0,121,90
[2025-08-01 05:31:08] [gimbal_controller] [INFO] [1753997468.688772673] [gimbal_controller]: 目标: (429, 331) | 中心: (320, 240) | 误差: (+109, +91) | 指令: @0,109,91
[2025-08-01 05:31:08] [gimbal_controller] [INFO] [1753997468.738121656] [gimbal_controller]: 目标: (405, 338) | 中心: (320, 240) | 误差: (+85, +98) | 指令: @0,85,98
[2025-08-01 05:31:08] [gimbal_controller] [INFO] [1753997468.786320323] [gimbal_controller]: 目标: (390, 336) | 中心: (320, 240) | 误差: (+70, +96) | 指令: @0,70,96
[2025-08-01 05:31:08] [gimbal_controller] [INFO] [1753997468.839461209] [gimbal_controller]: 目标: (377, 339) | 中心: (320, 240) | 误差: (+57, +99) | 指令: @0,57,99
[2025-08-01 05:31:08] [gimbal_controller] [INFO] [1753997468.880063821] [gimbal_controller]: 目标: (350, 342) | 中心: (320, 240) | 误差: (+30, +102) | 指令: @0,30,102
[2025-08-01 05:31:08] [gimbal_controller] [INFO] [1753997468.941913163] [gimbal_controller]: 目标: (336, 342) | 中心: (320, 240) | 误差: (+16, +102) | 指令: @0,16,102
[2025-08-01 05:31:08] [gimbal_controller] [INFO] [1753997468.978048090] [gimbal_controller]: 目标: (310, 344) | 中心: (320, 240) | 误差: (-10, +104) | 指令: @0,-10,104
[2025-08-01 05:31:09] [gimbal_controller] [INFO] [1753997469.016381277] [gimbal_controller]: 目标: (298, 344) | 中心: (320, 240) | 误差: (-22, +104) | 指令: @0,-22,104
[2025-08-01 05:31:09] [gimbal_controller] [INFO] [1753997469.171533999] [gimbal_controller]: 目标: (264, 339) | 中心: (320, 240) | 误差: (-56, +99) | 指令: @0,-56,99
[2025-08-01 05:31:09] [gimbal_controller] [INFO] [1753997469.204302559] [gimbal_controller]: 目标: (262, 338) | 中心: (320, 240) | 误差: (-58, +98) | 指令: @0,-58,98
[2025-08-01 05:31:09] [gimbal_controller] [INFO] [1753997469.251009373] [gimbal_controller]: 目标: (262, 336) | 中心: (320, 240) | 误差: (-58, +96) | 指令: @0,-58,96
[2025-08-01 05:31:09] [gimbal_controller] [INFO] [1753997469.312458845] [gimbal_controller]: 目标: (264, 331) | 中心: (320, 240) | 误差: (-56, +91) | 指令: @0,-56,91
[2025-08-01 05:31:09] [gimbal_controller] [INFO] [1753997469.599385214] [gimbal_controller]: 目标: (312, 308) | 中心: (320, 240) | 误差: (-8, +68) | 指令: @0,-8,68
[2025-08-01 05:31:09] [gimbal_controller] [INFO] [1753997469.658047853] [gimbal_controller]: 目标: (338, 289) | 中心: (320, 240) | 误差: (+18, +49) | 指令: @0,18,49
[2025-08-01 05:31:09] [gimbal_controller] [INFO] [1753997469.698097181] [gimbal_controller]: 目标: (349, 289) | 中心: (320, 240) | 误差: (+29, +49) | 指令: @0,29,49
[2025-08-01 05:31:09] [gimbal_controller] [INFO] [1753997469.748153154] [gimbal_controller]: 目标: (358, 263) | 中心: (320, 240) | 误差: (+38, +23) | 指令: @0,38,23
